"uniq_id","year","q1","q2y","ed","wc1","wc3","wc2","r4a","r5","r6","r12","r15","q5b","prov","municipio","municipio_label","colrecon6","colrecon7","colrecon8","colrecon18","centro","ur","l1","colpaz4a","colpaz6a","colpropaz5","colwc5","colwc6","colwc7","colwc8","colwc9","colpropaz6","coljp5","colconce1","colrecon3","colconce7","coldis35f","colrecon12","colpropaz11a","colpact1","colpropaz13k","coljepaa1","colconce6","prov_label","rebel_controlled"
16080916,2016,"Women",49,16,2,2,2,1,0,1,1,0,2,"808",808001,"BARRANQUILLA",8,NA,10,NA,1,1,4,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,5,1,NA,NA,NA,"Atlántico",0
16081270,2016,"Women",75,5,2,1,1,1,0,1,1,0,1,"823",823466,"MONTELIBANO",1,NA,4,NA,0,1,10,2,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,7,7,NA,NA,NA,"Córdoba",1
16080357,2016,"Men",25,18,2,2,2,1,1,1,1,1,2,"811",811001,"BOGOTA",1,NA,1,NA,0,1,5,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,7,1,NA,NA,NA,"Bogotá, D.C.",0
16081167,2016,"Women",20,11,2,2,2,1,1,1,1,1,2,"815",815176,"CHIQUINQUIRA",1,NA,1,NA,NA,1,5,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,"Boyacá",0
16080625,2016,"Men",43,14,1,2,2,0,0,0,1,1,1,"805",805001,"MEDELLIN",9,NA,10,NA,0,1,5,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,0,NA,5,5,NA,NA,NA,"Antioquia",1
16080698,2016,"Women",37,11,2,2,2,1,0,1,1,0,1,"805",805001,"MEDELLIN",1,NA,1,NA,NA,1,1,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,3,1,NA,NA,NA,"Antioquia",1
16080608,2016,"Men",41,11,2,2,2,1,0,1,1,1,1,"852",852227,"CUMBAL",NA,NA,7,NA,NA,1,5,1,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"Nariño",1
16081035,2016,"Men",31,11,1,2,1,1,0,1,0,1,2,"850",850001,"VILLAVICENCIO",1,NA,1,NA,1,1,10,2,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,1,3,NA,NA,NA,"Meta",0
16080001,2016,"Men",19,11,2,2,2,1,0,1,1,1,3,"876",876275,"FLORIDA",2,NA,8,NA,NA,1,3,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,2,2,NA,NA,NA,"Valle del Cauca",1
16080732,2016,"Women",29,11,2,2,2,1,NA,0,1,0,2,"811",811001,"BOGOTA",6,NA,6,NA,0,1,6,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,4,2,NA,NA,NA,"Bogotá, D.C.",0
16080684,2016,"Men",51,13,2,2,2,1,1,1,1,0,2,"811",811001,"BOGOTA",NA,10,NA,10,NA,1,5,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Bogotá, D.C.",0
16080019,2016,"Men",69,3,2,2,2,0,0,0,1,0,1,"876",876001,"CALI",NA,10,NA,10,0,1,6,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,"Valle del Cauca",1
16080605,2016,"Men",33,16,2,2,NA,1,0,1,0,1,1,"852",852835,"TUMACO",NA,9,NA,8,NA,1,8,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nariño",0
16080442,2016,"Women",20,11,2,2,2,1,0,1,1,1,1,"811",811001,"BOGOTA",2,NA,1,NA,NA,1,5,1,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,6,1,NA,NA,NA,"Bogotá, D.C.",0
16081435,2016,"Men",19,11,2,2,2,1,0,1,1,1,1,"817",817272,"FILADELFIA",NA,7,NA,8,NA,1,5,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Caldas",1
16080193,2016,"Women",31,8,2,2,2,1,0,1,1,1,1,"876",876001,"CALI",4,NA,6,NA,NA,1,3,2,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,0,NA,4,2,NA,NA,NA,"Valle del Cauca",1
16080233,2016,"Men",29,9,2,2,2,0,0,0,1,0,1,"876",876001,"CALI",7,NA,9,NA,0,1,5,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,0,NA,5,4,NA,NA,NA,"Valle del Cauca",1
16080555,2016,"Women",39,12,2,2,2,1,0,1,1,0,1,"808",808001,"BARRANQUILLA",6,NA,7,NA,NA,1,5,1,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,0,NA,4,3,NA,NA,NA,"Atlántico",0
